nameWithOwner,createdAt,age,updatedAt,timeSinceLastUpdate,primaryLanguage,pullRequests,issues,closedIssues,releases
denoland/deno,2018-05-15T01:34:26Z,58,2023-03-08T02:14:41Z,-2.873399446388889,Rust,7839,7410,6265,215
microsoft/terminal,2017-08-11T18:38:22Z,67,2023-03-07T21:30:03Z,1.8704894425,C++,3053,11051,9543,89
microsoft/PowerToys,2019-05-01T17:44:02Z,46,2023-03-08T02:22:18Z,-3.0003438908333333,C#,3816,20266,15705,77
yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,80,2023-03-08T01:48:55Z,-2.4439550019444445,TypeScript,429,69,54,0
goldbergyoni/nodebestpractices,2017-09-15T08:33:19Z,66,2023-03-08T02:02:55Z,-2.677288335277778,JavaScript,745,300,279,0
angular/angular,2014-09-18T16:12:01Z,102,2023-03-08T02:06:23Z,-2.7350661130555554,TypeScript,3322,24951,23754,249
mui/material-ui,2014-08-18T19:11:54Z,103,2023-03-08T01:48:38Z,-2.4392327797222224,JavaScript,15084,17040,15854,398
ant-design/ant-design,2015-04-24T15:37:24Z,95,2023-03-08T02:06:59Z,-2.7450661130555556,TypeScript,10609,26027,25115,564
huggingface/transformers,2018-10-29T13:56:00Z,53,2023-03-08T02:19:37Z,-2.955621668611111,Python,8788,11013,10586,108
puppeteer/puppeteer,2017-05-09T22:16:13Z,70,2023-03-07T23:48:35Z,-0.4383994463888889,TypeScript,3014,5861,5611,180
PanJiaChen/vue-element-admin,2017-04-17T03:35:49Z,71,2023-03-08T02:06:35Z,-2.7383994463888888,Vue,313,3510,2333,49
ryanmcdermott/clean-code-javascript,2016-11-25T22:25:41Z,76,2023-03-07T23:36:14Z,-0.23256611305555558,JavaScript,149,135,81,0
iluwatar/java-design-patterns,2014-08-09T16:45:18Z,103,2023-03-08T01:50:15Z,-2.4661772241666666,Java,1069,845,659,0
rust-lang/rust,2010-06-16T20:39:03Z,153,2023-03-08T02:11:52Z,-2.8264550019444443,Rust,46160,47454,38635,108
Genymobile/scrcpy,2017-11-21T18:00:27Z,64,2023-03-08T02:22:29Z,-3.003399446388889,C,64,3388,2163,29
animate-css/animate.css,2011-10-12T10:07:38Z,137,2023-03-08T00:30:43Z,-1.140621668611111,CSS,313,842,819,22
storybookjs/storybook,2016-03-18T04:23:44Z,84,2023-03-08T02:16:36Z,-2.905343890833333,TypeScript,7914,10248,8311,1000
nvbn/thefuck,2015-04-08T15:08:04Z,95,2023-03-08T02:19:27Z,-2.9528438908333334,Python,478,664,453,17
tensorflow/models,2016-02-05T01:15:20Z,85,2023-03-08T02:19:30Z,-2.9536772241666664,Jupyter Notebook,2293,7077,6023,29
gothinkster/realworld,2016-02-26T20:49:53Z,85,2023-03-08T01:30:49Z,-2.1422883352777777,TypeScript,323,509,459,0
laravel/laravel,2011-06-08T03:06:08Z,141,2023-03-08T01:51:19Z,-2.4839550019444445,PHP,1491,0,0,135
MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,51,2023-03-08T02:15:52Z,-2.893121668611111,Java,63,58,42,0
FortAwesome/Font-Awesome,2012-02-17T14:19:43Z,133,2023-03-07T22:38:58Z,0.7218783313888889,JavaScript,196,18757,13448,50
papers-we-love/papers-we-love,2013-12-15T14:31:41Z,111,2023-03-08T01:50:36Z,-2.4720105575,Shell,415,191,172,0
mtdvio/every-programmer-should-know,2017-08-24T13:18:26Z,67,2023-03-07T23:44:36Z,-0.3720105575,None,98,42,18,0
django/django,2012-04-28T02:47:18Z,131,2023-03-08T02:11:57Z,-2.8278438908333334,Python,8007,0,0,0
tonsky/FiraCode,2014-11-11T19:32:38Z,100,2023-03-08T02:22:29Z,-3.003399446388889,Clojure,125,1259,906,29
doocs/advanced-java,2018-10-06T11:38:30Z,53,2023-03-08T01:59:40Z,-2.623121668611111,Java,75,139,137,1
bitcoin/bitcoin,2010-12-19T15:16:43Z,147,2023-03-08T02:06:22Z,-2.7347883352777775,C++,12708,7334,6940,40
vuejs/awesome-vue,2015-10-20T00:16:14Z,89,2023-03-08T01:14:57Z,-1.8778438908333333,None,3386,211,181,0
microsoft/Web-Dev-For-Beginners,2020-11-10T02:44:00Z,28,2023-03-08T02:13:03Z,-2.8461772241666665,JavaScript,439,226,217,0
ripienaar/free-for-dev,2015-03-18T21:06:26Z,96,2023-03-07T22:14:33Z,1.1288227758333333,HTML,2126,0,0,0
opencv/opencv,2012-07-19T09:40:17Z,128,2023-03-08T02:19:48Z,-2.958677224166667,C++,11028,9528,7176,59
gin-gonic/gin,2014-06-16T23:57:25Z,105,2023-03-08T01:54:02Z,-2.5292327797222223,Go,923,1992,1500,24
sveltejs/svelte,2016-11-20T18:13:05Z,76,2023-03-07T19:39:57Z,3.7054894425000002,TypeScript,2561,4885,4126,0
spring-projects/spring-boot,2012-10-19T15:02:57Z,125,2023-03-08T01:59:09Z,-2.6145105575,Java,41,28579,28014,163
typicode/json-server,2013-11-27T13:21:13Z,112,2023-03-08T02:01:48Z,-2.6586772241666665,JavaScript,108,1036,467,12
gohugoio/hugo,2013-07-04T15:26:26Z,116,2023-03-07T21:46:59Z,1.588267220277778,Go,1913,6381,5738,217
tailwindlabs/tailwindcss,2017-10-06T14:59:14Z,65,2023-03-08T01:42:58Z,-2.344788335277778,HTML,1683,2748,2744,209
521xueweihan/HelloGitHub,2016-05-04T06:24:11Z,82,2023-03-08T02:15:06Z,-2.880343890833333,Python,14,2430,2341,28
moby/moby,2013-01-18T18:10:57Z,122,2023-03-08T02:09:05Z,-2.7800661130555557,Go,18104,21785,17818,120
nvm-sh/nvm,2010-04-15T17:47:47Z,155,2023-03-08T02:22:24Z,-3.0020105575,Shell,673,1920,1603,62
fatedier/frp,2015-12-21T15:24:59Z,87,2023-03-08T02:09:43Z,-2.790621668611111,Go,434,2680,2572,77
thedaviddias/Front-End-Checklist,2017-10-16T10:12:36Z,65,2023-03-07T22:50:48Z,0.5246561091666667,None,172,143,137,1
macrozheng/mall,2018-04-04T01:11:44Z,59,2023-03-08T01:46:40Z,-2.4064550019444444,Java,0,454,428,2
pytorch/pytorch,2016-08-13T05:26:41Z,79,2023-03-08T02:22:10Z,-2.998121668611111,C++,5357,31879,21436,43
hakimel/reveal.js,2011-06-07T18:54:22Z,141,2023-03-08T02:08:05Z,-2.7633994463888887,JavaScript,373,2215,1575,39
neovim/neovim,2014-01-31T13:39:22Z,110,2023-03-08T01:46:11Z,-2.398399446388889,Vim Script,9261,9375,8006,31
elastic/elasticsearch,2010-02-08T13:20:56Z,157,2023-03-08T01:55:15Z,-2.5495105575,Java,53905,31695,28121,108
florinpop17/app-ideas,2019-02-25T18:36:56Z,49,2023-03-08T00:53:17Z,-1.516732779722222,None,149,113,35,0
webpack/webpack,2012-03-10T10:08:14Z,132,2023-03-08T02:05:18Z,-2.7170105575,JavaScript,4203,9380,9180,382
iptv-org/iptv,2018-11-14T22:00:57Z,52,2023-03-08T01:26:11Z,-2.0650661130555554,JavaScript,5161,5340,4511,0
Hack-with-Github/Awesome-Hacking,2016-03-30T15:47:10Z,84,2023-03-08T02:15:12Z,-2.8820105575,None,27,0,0,0
netdata/netdata,2013-06-17T18:39:10Z,117,2023-03-08T00:09:47Z,-0.7917327797222222,C,6365,7238,7013,61
pallets/flask,2010-04-06T11:11:59Z,155,2023-03-08T01:22:56Z,-2.0108994463888887,Python,1445,2466,2463,24
apple/swift,2015-10-23T21:15:07Z,89,2023-03-08T01:24:54Z,-2.0436772241666668,C++,41247,13403,7650,46
GrowingGit/GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,42,2023-03-08T02:10:04Z,-2.7964550019444445,Java,0,254,149,0
expressjs/express,2009-06-26T18:56:01Z,165,2023-03-08T00:16:44Z,-0.9075661130555556,JavaScript,268,3716,3613,147
tauri-apps/tauri,2019-07-13T09:09:37Z,44,2023-03-08T02:15:33Z,-2.8878438908333335,Rust,2869,2336,1991,500
chartjs/Chart.js,2013-03-17T23:56:36Z,120,2023-03-08T01:58:36Z,-2.6053438908333333,JavaScript,2858,6754,6546,101
resume/resume.github.com,2011-02-06T13:39:55Z,145,2023-03-08T01:58:10Z,-2.5981216686111113,JavaScript,84,108,59,0
kdn251/interviews,2017-02-14T18:19:25Z,73,2023-03-08T01:20:19Z,-1.9672883352777777,Java,42,51,20,0
coder/code-server,2019-02-27T16:50:41Z,49,2023-03-08T02:09:24Z,-2.7853438908333334,TypeScript,1258,3164,2919,102
