nameWithOwner,createdAt,age,updatedAt,timeSinceLastUpdate,primaryLanguage,pullRequests,issues,closedIssues,releases
JetBrains/kotlin,2012-02-13T17:29:58Z,133,2023-03-08T00:23:01Z,-1.0122883352777778,Kotlin,2041,0,0,199
nuxt/nuxt,2016-10-26T11:18:47Z,77,2023-03-08T01:19:21Z,-1.9511772241666667,TypeScript,2638,11298,10488,174
binhnguyennus/awesome-scalability,2017-12-27T03:46:40Z,63,2023-03-07T23:44:05Z,-0.3633994463888889,None,29,0,0,0
deepfakes/faceswap,2017-12-19T09:44:13Z,63,2023-03-07T20:20:16Z,3.0335449980555556,Python,345,799,784,3
Eugeny/tabby,2016-12-23T09:06:10Z,75,2023-03-08T02:23:06Z,-3.0136772241666665,TypeScript,1346,3984,2728,168
ziishaned/learn-regex,2017-07-22T12:21:03Z,68,2023-03-08T01:00:21Z,-1.6345105575,None,124,84,35,0
square/okhttp,2012-07-23T13:42:55Z,128,2023-03-08T01:43:16Z,-2.3497883352777778,Kotlin,3081,3784,3630,0
tldr-pages/tldr,2013-12-08T07:34:43Z,111,2023-03-08T01:04:32Z,-1.704232779722222,Markdown,7805,1064,908,2
meteor/meteor,2012-01-19T01:58:17Z,134,2023-03-07T22:01:16Z,1.3502116647222222,JavaScript,1821,8849,8660,0
excalidraw/excalidraw,2020-01-02T01:04:43Z,38,2023-03-08T02:21:07Z,-2.980621668611111,TypeScript,2877,2390,1551,8
DefinitelyTyped/DefinitelyTyped,2012-10-05T16:39:45Z,125,2023-03-08T01:53:34Z,-2.5214550019444446,TypeScript,45950,7856,7187,1
etcd-io/etcd,2013-07-06T21:57:21Z,116,2023-03-07T21:13:11Z,2.151600553611111,Go,7418,6098,5948,220
cypress-io/cypress,2015-03-04T00:46:28Z,96,2023-03-08T01:48:55Z,-2.4439550019444445,JavaScript,5053,12477,9765,299
facebook/docusaurus,2017-06-20T16:13:53Z,69,2023-03-08T01:17:08Z,-1.9142327797222223,TypeScript,4597,2564,2335,125
TryGhost/Ghost,2013-05-04T11:09:13Z,118,2023-03-07T23:21:15Z,0.017156109166666666,JavaScript,7577,6532,6497,635
aymericdamien/TensorFlow-Examples,2015-11-11T14:21:19Z,88,2023-03-07T14:42:21Z,8.6654894425,Jupyter Notebook,88,231,69,0
algorithm-visualizer/algorithm-visualizer,2016-05-15T00:27:45Z,82,2023-03-07T19:02:13Z,4.334378331388889,JavaScript,182,102,73,0
iamkun/dayjs,2018-04-10T09:26:44Z,59,2023-03-07T21:34:48Z,1.7913227758333334,JavaScript,641,1308,756,113
Textualize/rich,2019-11-10T15:28:09Z,40,2023-03-08T02:00:03Z,-2.6295105575,Python,693,1044,970,148
android/architecture-samples,2016-02-05T13:42:07Z,85,2023-03-08T02:16:32Z,-2.9042327797222223,Kotlin,203,442,290,0
yt-dlp/yt-dlp,2020-10-26T04:22:55Z,29,2023-03-08T01:39:43Z,-2.290621668611111,Python,1306,4488,3634,69
ColorlibHQ/AdminLTE,2013-12-25T02:52:40Z,111,2023-03-08T01:36:50Z,-2.2425661130555556,JavaScript,1169,2747,2693,72
vsouza/awesome-ios,2014-07-10T16:03:45Z,104,2023-03-07T17:12:21Z,6.1654894425,Swift,2191,462,462,0
ryanoasis/nerd-fonts,2014-12-05T04:31:17Z,99,2023-03-08T01:49:13Z,-2.4489550019444444,CSS,282,717,647,29
parcel-bundler/parcel,2017-08-07T16:36:47Z,67,2023-03-08T01:57:03Z,-2.5795105575,JavaScript,2098,4999,4319,25
babel/babel,2014-09-28T13:38:23Z,102,2023-03-08T02:04:56Z,-2.710899446388889,TypeScript,5133,8453,7822,338
traefik/traefik,2015-09-13T19:04:02Z,90,2023-03-08T02:06:57Z,-2.7445105575,Go,3719,5324,4731,387
JuliaLang/julia,2011-04-21T07:01:50Z,143,2023-03-08T01:39:44Z,-2.290899446388889,Julia,20648,22702,19164,136
gogs/gogs,2014-02-12T01:57:08Z,109,2023-03-08T02:21:16Z,-2.983121668611111,Go,1556,4966,4162,78
v2ray/v2ray-core,2015-09-04T11:42:53Z,90,2023-03-07T16:33:07Z,6.819378331388889,Go,203,2502,2481,247
astaxie/build-web-application-with-golang,2012-08-02T11:49:35Z,127,2023-03-07T22:35:14Z,0.7841005536111111,Go,757,295,181,0
mozilla/pdf.js,2011-04-26T06:32:03Z,143,2023-03-07T23:48:53Z,-0.44339944638888884,JavaScript,6197,8819,8479,49
facebook/jest,2013-12-10T00:18:04Z,111,2023-03-08T01:38:59Z,-2.278399446388889,TypeScript,5108,7272,6475,190
pi-hole/pi-hole,2014-06-08T15:02:55Z,105,2023-03-08T00:55:23Z,-1.5517327797222222,Shell,1602,2661,2634,95
karan/Projects,2013-07-04T13:37:27Z,116,2023-03-08T02:22:46Z,-3.008121668611111,None,19,71,32,0
ethereum/go-ethereum,2013-12-26T13:05:46Z,111,2023-03-08T00:43:39Z,-1.3561772241666668,Go,6058,7097,6854,169
square/retrofit,2010-09-06T21:39:43Z,150,2023-03-07T17:28:27Z,5.897156109166667,Java,798,2627,2482,0
Alvin9999/new-pac,2016-03-23T08:43:36Z,84,2023-03-08T00:07:40Z,-0.7564550019444444,None,0,1331,1004,0
bregman-arie/devops-exercises,2019-10-03T17:31:21Z,41,2023-03-08T01:53:59Z,-2.528399446388889,Python,216,62,50,0
yarnpkg/yarn,2016-01-19T17:39:16Z,86,2023-03-07T06:19:44Z,17.042433886944444,JavaScript,1652,6457,4644,150
k88hudson/git-flight-rules,2014-07-22T20:35:09Z,104,2023-03-07T20:10:01Z,3.204378331388889,None,216,69,53,0
mastodon/mastodon,2016-02-22T15:01:25Z,85,2023-03-08T01:46:01Z,-2.395621668611111,Ruby,11210,9095,5458,186
vercel/hyper,2016-07-01T06:01:21Z,80,2023-03-08T00:53:44Z,-1.5242327797222222,TypeScript,2697,3634,2792,86
justjavac/awesome-wechat-weapp,2016-09-22T20:04:48Z,78,2023-03-08T02:00:44Z,-2.640899446388889,None,271,0,0,0
x64dbg/x64dbg,2015-04-11T20:48:23Z,95,2023-03-08T02:22:45Z,-3.007843890833333,C++,597,2238,1716,3
sharkdp/bat,2018-04-21T10:52:23Z,59,2023-03-08T02:20:38Z,-2.9725661130555556,Rust,1094,1180,1009,38
tiimgreen/github-cheat-sheet,2014-04-12T16:38:42Z,107,2023-03-07T23:06:28Z,0.26354499805555553,None,129,56,43,0
FiloSottile/mkcert,2018-06-25T05:33:03Z,57,2023-03-07T23:09:42Z,0.20965610916666666,Go,52,310,225,14
Avik-Jain/100-Days-Of-ML-Code,2018-07-05T09:11:43Z,56,2023-03-08T02:07:34Z,-2.7547883352777776,None,6,0,0,0
typescript-cheatsheets/react,2018-06-02T04:08:16Z,57,2023-03-08T02:17:41Z,-2.923399446388889,JavaScript,317,183,182,0
CorentinJ/Real-Time-Voice-Cloning,2019-05-26T08:56:15Z,46,2023-03-08T01:42:57Z,-2.3445105575,Python,48,966,876,0
bailicangdu/vue2-elm,2016-12-23T01:49:20Z,75,2023-03-08T02:08:43Z,-2.7739550019444446,Vue,20,617,506,0
oven-sh/bun,2021-04-14T00:48:17Z,23,2023-03-08T02:14:40Z,-2.873121668611111,Zig,657,1367,849,69
sherlock-project/sherlock,2018-12-24T14:30:48Z,51,2023-03-08T00:40:37Z,-1.305621668611111,Python,506,750,717,0
nwjs/nw.js,2012-01-04T06:21:10Z,134,2023-03-07T14:39:50Z,8.707433886944445,JavaScript,570,7170,6296,0
d2l-ai/d2l-zh,2017-08-23T04:40:24Z,67,2023-03-08T02:22:14Z,-2.999232779722222,Python,1016,0,0,16
pixijs/pixijs,2013-01-21T22:40:50Z,122,2023-03-08T02:10:07Z,-2.7972883352777775,TypeScript,2685,5114,4992,193
rustdesk/rustdesk,2020-09-28T15:36:08Z,30,2023-03-08T01:46:57Z,-2.4111772241666665,Rust,1062,1521,1202,8
f/awesome-chatgpt-prompts,2022-12-05T13:54:13Z,3,2023-03-08T02:21:33Z,-2.987843890833333,HTML,93,0,0,0
Alamofire/Alamofire,2014-07-31T05:56:19Z,104,2023-03-08T00:18:22Z,-0.9347883352777777,Swift,573,2673,2638,93
kamranahmedse/design-patterns-for-humans,2017-02-16T21:24:39Z,73,2023-03-08T02:16:47Z,-2.9083994463888887,None,48,52,45,0
chinese-poetry/chinese-poetry,2016-09-02T03:32:25Z,78,2023-03-08T01:54:28Z,-2.5364550019444443,JavaScript,126,169,81,1
commaai/openpilot,2016-11-24T01:33:30Z,76,2023-03-07T22:33:09Z,0.8188227758333334,Python,6245,2010,1791,49
Dogfalo/materialize,2014-09-12T19:35:38Z,102,2023-03-07T19:30:12Z,3.8679894425,JavaScript,449,5215,4593,41
marktext/marktext,2017-11-12T16:05:25Z,64,2023-03-08T02:06:20Z,-2.7342327797222223,JavaScript,930,2519,1560,36
Unitech/pm2,2013-05-21T03:25:25Z,118,2023-03-08T01:49:25Z,-2.452288335277778,JavaScript,537,4701,3992,119
2dust/v2rayN,2019-07-30T03:47:24Z,44,2023-03-08T02:22:48Z,-3.0086772241666666,C#,82,2973,2938,146
apache/dubbo,2012-06-19T07:56:02Z,129,2023-03-07T16:58:02Z,6.404100553611111,Java,3952,5932,5286,74
ngosang/trackerslist,2016-04-24T11:57:57Z,83,2023-03-08T02:01:34Z,-2.654788335277778,None,1,367,363,0
styled-components/styled-components,2016-08-16T06:41:32Z,79,2023-03-08T01:11:23Z,-1.8183994463888888,TypeScript,874,2665,2524,134
jgraph/drawio-desktop,2017-05-25T20:58:42Z,70,2023-03-08T00:33:31Z,-1.1872883352777777,Shell,17,1057,881,104
golang-standards/project-layout,2017-09-09T16:33:26Z,66,2023-03-08T01:34:16Z,-2.199788335277778,Makefile,57,97,28,0
minio/minio,2015-01-14T19:23:58Z,98,2023-03-08T02:15:51Z,-2.8928438908333334,Go,7979,6446,6426,388
huginn/huginn,2013-03-10T06:00:31Z,120,2023-03-07T23:13:03Z,0.15382277583333331,Ruby,939,2022,1437,1
dcloudio/uni-app,2018-07-12T08:52:39Z,56,2023-03-08T01:48:59Z,-2.4450661130555553,JavaScript,208,3773,2806,0
iperov/DeepFaceLab,2018-06-04T13:10:00Z,57,2023-03-07T23:14:10Z,0.13521166472222224,Python,32,1253,747,2
NationalSecurityAgency/ghidra,2019-03-01T03:27:48Z,48,2023-03-08T01:11:51Z,-1.8261772241666667,Java,346,3672,2455,26
jakevdp/PythonDataScienceHandbook,2016-08-10T14:24:36Z,79,2023-03-08T02:06:54Z,-2.7436772241666665,Jupyter Notebook,28,174,75,0
dypsilon/frontend-dev-bookmarks,2013-06-22T13:23:55Z,117,2023-03-08T01:46:34Z,-2.404788335277778,None,129,98,80,1
Dreamacro/clash,2018-06-10T14:28:14Z,57,2023-03-08T02:11:21Z,-2.817843890833333,Go,254,1818,1744,49
discourse/discourse,2013-01-12T00:25:55Z,122,2023-03-08T00:43:39Z,-1.3561772241666668,Ruby,17588,0,0,0
PowerShell/PowerShell,2016-01-13T23:41:35Z,86,2023-03-07T18:02:16Z,5.333544998055555,C#,6090,10948,7619,136
rclone/rclone,2014-03-16T16:19:57Z,108,2023-03-08T00:21:26Z,-0.9858994463888888,Go,1452,4781,3994,90
isocpp/CppCoreGuidelines,2015-08-19T20:22:52Z,91,2023-03-08T02:21:07Z,-2.980621668611111,Python,759,1062,860,4
grpc/grpc,2014-12-08T18:58:53Z,99,2023-03-07T23:01:03Z,0.3538227758333334,C++,17442,10650,10050,240
impress/impress.js,2011-12-28T22:23:19Z,135,2023-03-07T18:11:29Z,5.179933886944444,JavaScript,115,468,415,15
pandas-dev/pandas,2010-08-24T01:37:33Z,151,2023-03-07T23:26:41Z,-0.07339944638888889,Python,21579,24069,20520,93
Leaflet/Leaflet,2010-09-22T16:57:44Z,150,2023-03-07T16:41:36Z,6.6779894425,JavaScript,2765,5001,4643,30
yangshun/front-end-interview-handbook,2018-01-13T19:40:08Z,62,2023-03-08T00:37:30Z,-1.2536772241666667,JavaScript,220,87,74,0
faif/python-patterns,2012-06-06T21:02:35Z,129,2023-03-08T01:54:51Z,-2.5428438908333333,Python,262,82,73,0
GitSquared/edex-ui,2017-01-28T09:35:02Z,74,2023-03-08T01:51:18Z,-2.4836772241666667,JavaScript,399,559,553,29
fastlane/fastlane,2014-12-02T17:00:38Z,99,2023-03-08T01:48:45Z,-2.4411772241666667,Ruby,5975,12476,12243,530
vuetifyjs/vuetify,2016-09-12T00:39:35Z,78,2023-03-07T19:21:33Z,4.012156109166667,TypeScript,3270,11810,10589,462
google/zx,2021-05-05T05:50:01Z,22,2023-03-08T01:30:48Z,-2.1420105575,JavaScript,104,315,289,55
FreeCodeCampChina/freecodecamp.cn,2016-09-30T03:13:43Z,78,2023-03-07T15:50:55Z,7.522711664722222,CSS,55,585,445,0
BurntSushi/ripgrep,2016-03-11T02:02:33Z,84,2023-03-08T02:19:36Z,-2.9553438908333334,Rust,451,1422,1286,66
hashicorp/terraform,2014-03-13T22:25:48Z,108,2023-03-08T01:53:19Z,-2.5172883352777777,Go,10526,19563,17960,238
hexojs/hexo,2012-09-23T15:17:08Z,126,2023-03-07T20:33:41Z,2.8099338869444446,JavaScript,833,3836,3765,107
alex/what-happens-when,2013-11-07T04:30:06Z,112,2023-03-07T22:33:45Z,0.8088227758333334,None,108,141,29,0
PhilJay/MPAndroidChart,2014-04-25T14:29:47Z,107,2023-03-08T01:16:27Z,-1.9028438908333334,Java,190,4864,2872,44
youngyangyang04/leetcode-master,2019-12-14T12:05:42Z,39,2023-03-08T02:23:17Z,-3.016732779722222,Shell,1608,153,49,0
agalwood/Motrix,2018-12-18T11:45:05Z,51,2023-03-08T02:11:00Z,-2.8120105575,JavaScript,144,1112,498,14
wagoodman/dive,2018-05-13T15:44:01Z,58,2023-03-08T01:42:00Z,-2.3286772241666664,Go,115,272,147,24
ultralytics/yolov5,2020-05-18T03:45:11Z,34,2023-03-08T01:41:58Z,-2.3281216686111113,Python,1894,7661,7435,10
streamich/react-use,2018-10-27T10:16:05Z,53,2023-03-07T22:05:40Z,1.276878331388889,TypeScript,1494,535,225,249
vuejs/core,2018-06-12T13:49:36Z,57,2023-03-08T02:23:22Z,-3.018121668611111,TypeScript,1880,3830,3254,137
nektos/act,2019-01-02T19:53:43Z,50,2023-03-08T01:59:04Z,-2.613121668611111,Go,632,826,738,52
akullpp/awesome-java,2014-07-09T10:12:43Z,104,2023-03-08T01:28:58Z,-2.1114550019444445,None,646,118,118,0
poteto/hiring-without-whiteboards,2017-03-15T05:09:01Z,72,2023-03-08T02:21:15Z,-2.9828438908333332,JavaScript,1158,0,0,0
Homebrew/brew,2016-03-06T05:08:38Z,84,2023-03-07T23:43:59Z,-0.3617327797222222,Ruby,8933,3912,3878,292
apache/spark,2014-02-25T08:00:08Z,109,2023-03-08T01:41:31Z,-2.320621668611111,Scala,5,0,0,0
rust-lang/rustlings,2015-09-15T02:25:18Z,90,2023-03-08T01:21:32Z,-1.9875661130555555,Rust,618,468,376,34
videojs/video.js,2010-05-14T18:45:10Z,154,2023-03-08T01:14:49Z,-1.8756216686111111,JavaScript,1587,4972,4569,281
php/php-src,2011-06-16T01:52:25Z,141,2023-03-08T01:30:35Z,-2.1383994463888887,C,1530,1297,940,0
go-gitea/gitea,2016-11-01T02:13:26Z,76,2023-03-08T02:21:18Z,-2.9836772241666667,Go,11208,10402,8396,162
slatedocs/slate,2013-09-13T22:15:24Z,114,2023-03-07T14:22:49Z,8.991044998055555,SCSS,291,599,552,28
RocketChat/Rocket.Chat,2015-05-19T07:36:09Z,94,2023-03-08T01:27:01Z,-2.0789550019444443,TypeScript,9776,15012,12075,743
brillout/awesome-react-components,2016-06-24T15:19:33Z,81,2023-03-08T02:04:01Z,-2.695621668611111,None,293,44,44,0
floodsung/Deep-Learning-Papers-Reading-Roadmap,2016-10-14T11:49:48Z,77,2023-03-08T01:59:21Z,-2.6178438908333335,Python,28,53,4,0
laurent22/joplin,2017-01-16T21:49:41Z,74,2023-03-08T01:58:58Z,-2.6114550019444445,TypeScript,1937,5134,4857,275
chubin/cheat.sh,2017-05-07T21:40:56Z,70,2023-03-07T19:59:10Z,3.385211664722222,Python,122,225,123,0
romkatv/powerlevel10k,2019-02-24T19:09:45Z,49,2023-03-08T01:04:12Z,-1.6986772241666666,Shell,127,2023,1989,30
evanw/esbuild,2016-06-14T16:08:50Z,81,2023-03-08T02:00:02Z,-2.6292327797222224,Go,207,2596,2331,234
nocodb/nocodb,2017-10-29T18:51:48Z,65,2023-03-08T02:14:17Z,-2.866732779722222,TypeScript,1681,2038,1671,90
apachecn/ailearning,2017-02-25T08:53:02Z,73,2023-03-08T02:06:48Z,-2.7420105575,Python,475,106,103,2
quilljs/quill,2012-07-30T23:23:18Z,128,2023-03-07T14:52:23Z,8.498267220277778,JavaScript,236,3164,1922,82
gorhill/uBlock,2015-04-01T17:51:11Z,95,2023-03-08T00:59:07Z,-1.6139550019444444,JavaScript,210,3451,3438,270
FFmpeg/FFmpeg,2011-04-14T14:12:38Z,143,2023-03-08T02:02:35Z,-2.6717327797222223,C,16,0,0,0
nodejs/node-v0.x-archive,2009-05-27T16:29:46Z,166,2023-03-07T14:34:36Z,8.794656109166667,None,218,6380,5845,0
0voice/interview_internal_reference,2019-06-10T06:54:19Z,45,2023-03-08T01:10:30Z,-1.8036772241666665,Python,35,45,18,0
kelseyhightower/kubernetes-the-hard-way,2016-07-07T14:15:27Z,80,2023-03-07T20:50:36Z,2.5279894425,None,69,371,290,0
alvarotrigo/fullPage.js,2013-09-20T11:58:29Z,114,2023-03-08T01:02:54Z,-1.6770105575,JavaScript,295,3980,3830,86
serhii-londar/open-source-mac-os-apps,2017-11-03T02:35:33Z,64,2023-03-08T02:16:01Z,-2.895621668611111,None,514,178,138,0
nolimits4web/swiper,2012-03-14T19:11:45Z,132,2023-03-08T01:19:13Z,-1.9489550019444444,JavaScript,526,4787,4610,36
lerna/lerna,2015-12-04T09:36:55Z,87,2023-03-08T02:19:02Z,-2.945899446388889,TypeScript,789,2385,2070,207
meilisearch/meilisearch,2018-04-23T11:45:28Z,59,2023-03-08T01:53:01Z,-2.512288335277778,Rust,1259,1408,1310,130
Kong/kong,2014-11-17T23:56:08Z,100,2023-03-07T23:28:52Z,-0.10978833527777777,Lua,3978,4060,3855,128
google/styleguide,2015-05-20T19:18:59Z,94,2023-03-07T17:56:08Z,5.435767220277778,HTML,148,310,117,0
sahat/hackathon-starter,2013-11-13T17:24:12Z,112,2023-03-07T20:48:57Z,2.5554894425,JavaScript,310,615,607,14
iamadamdev/bypass-paywalls-chrome,2018-04-07T20:33:19Z,59,2023-03-08T02:17:39Z,-2.922843890833333,JavaScript,131,999,998,33
preactjs/preact,2015-09-11T02:40:18Z,90,2023-03-08T01:18:04Z,-1.9297883352777778,JavaScript,1439,1632,1488,180
wg/wrk,2012-03-20T11:12:28Z,132,2023-03-07T21:28:54Z,1.8896561091666666,C,0,380,257,0
Asabeneh/30-Days-Of-JavaScript,2019-12-23T14:07:40Z,39,2023-03-08T02:07:06Z,-2.7470105575,JavaScript,96,106,47,0
nlohmann/json,2013-07-04T08:47:49Z,116,2023-03-08T02:05:59Z,-2.728399446388889,C++,662,2099,2055,43
dkhamsing/open-source-ios-apps,2015-01-26T23:32:34Z,98,2023-03-07T23:06:42Z,0.25965610916666665,None,732,252,252,37
ant-design/ant-design-pro,2017-08-25T10:40:44Z,67,2023-03-08T01:37:49Z,-2.2589550019444444,TypeScript,925,9003,8788,26
jeecgboot/jeecg-boot,2018-11-26T10:40:00Z,52,2023-03-08T02:07:15Z,-2.7495105575,Java,14,3912,3852,25
koajs/koa,2013-07-20T18:53:45Z,116,2023-03-07T14:38:17Z,8.733267220277778,JavaScript,466,884,848,0
photonstorm/phaser,2013-04-12T12:27:51Z,119,2023-03-08T01:55:34Z,-2.554788335277778,JavaScript,1562,4067,3985,134
airbnb/lottie-android,2016-10-06T22:42:42Z,77,2023-03-07T15:34:13Z,7.801044998055556,Java,592,1540,1524,44
react-hook-form/react-hook-form,2019-03-05T23:47:10Z,48,2023-03-08T02:14:29Z,-2.8700661130555556,TypeScript,1774,3659,3656,509
skylot/jadx,2013-03-18T17:08:21Z,120,2023-03-08T01:56:41Z,-2.5733994463888887,Java,368,1350,1063,27
pingcap/tidb,2015-09-06T04:01:52Z,90,2023-03-08T01:53:53Z,-2.5267327797222223,Go,22333,14245,11261,164
eugenp/tutorials,2013-04-29T18:26:36Z,119,2023-03-07T19:17:31Z,4.079378331388889,Java,9350,655,633,0
getsentry/sentry,2010-08-30T22:06:41Z,151,2023-03-07T18:19:43Z,5.042711664722222,Python,34460,6456,5740,99
adobe/brackets,2011-12-07T21:14:40Z,135,2023-03-08T01:28:25Z,-2.1022883352777777,JavaScript,4333,9686,7067,69
shadowsocks/shadowsocks-android,2012-12-16T13:40:29Z,123,2023-03-08T02:11:02Z,-2.8125661130555555,Kotlin,245,2450,2422,184
exacity/deeplearningbook-chinese,2016-12-07T11:46:51Z,75,2023-03-08T01:47:16Z,-2.4164550019444446,TeX,16,199,138,7
open-guides/og-aws,2016-07-13T17:30:16Z,80,2023-03-07T23:44:00Z,-0.3620105575,Shell,498,222,86,0
jgraph/drawio,2016-09-06T12:59:15Z,78,2023-03-08T02:19:08Z,-2.9475661130555557,JavaScript,32,2855,2478,727
bumptech/glide,2013-07-08T22:52:33Z,116,2023-03-08T02:18:42Z,-2.9403438908333333,Java,440,4220,3834,43
TanStack/query,2019-09-10T19:23:58Z,42,2023-03-08T00:13:58Z,-0.8614550019444445,TypeScript,1268,1226,1193,492
google-research/bert,2018-10-25T22:57:34Z,53,2023-03-08T01:49:53Z,-2.4600661130555554,Python,32,1120,349,0
AFNetworking/AFNetworking,2011-05-31T21:28:44Z,142,2023-03-07T09:47:50Z,13.57410055361111,Objective-C,710,0,0,40
shadowsocks/shadowsocks,2012-04-20T13:10:49Z,131,2023-03-07T08:03:29Z,15.313267220277778,Python,70,0,0,2
tabler/tabler,2018-02-01T09:08:59Z,61,2023-03-08T01:30:38Z,-2.139232779722222,HTML,367,708,646,39
AobingJava/JavaFamily,2019-11-12T04:26:18Z,40,2023-03-08T01:42:39Z,-2.3395105575,None,2,59,58,0
jesseduffield/lazygit,2018-05-19T00:53:06Z,58,2023-03-08T02:15:45Z,-2.8911772241666664,Go,909,1255,851,138
BVLC/caffe,2013-09-12T18:39:48Z,114,2023-03-08T00:23:45Z,-1.0245105575,C++,1087,4787,3892,14
microsoft/monaco-editor,2016-06-07T16:56:31Z,81,2023-03-08T01:27:11Z,-2.081732779722222,JavaScript,297,3138,2668,0
nativefier/nativefier,2015-07-05T05:56:42Z,92,2023-03-08T00:35:46Z,-1.2247883352777778,TypeScript,253,1186,965,94
dylanaraps/pure-bash-bible,2018-06-13T01:39:33Z,57,2023-03-07T19:32:19Z,3.8327116647222224,Shell,28,70,32,0
rust-unofficial/awesome-rust,2014-07-17T10:45:10Z,104,2023-03-08T02:15:28Z,-2.8864550019444444,Rust,1139,117,106,0
starship/starship,2019-04-02T03:23:12Z,47,2023-03-08T00:59:01Z,-1.6122883352777777,Rust,2252,1769,1359,117
zenorocha/clipboard.js,2015-09-18T23:04:55Z,90,2023-03-07T11:57:08Z,11.419100553611111,JavaScript,117,609,604,42
topjohnwu/Magisk,2016-09-08T12:42:53Z,78,2023-03-08T02:19:35Z,-2.9550661130555556,C++,1173,4698,4674,126
gulpjs/gulp,2013-07-04T05:26:06Z,116,2023-03-08T00:21:13Z,-0.9822883352777777,JavaScript,396,1880,1856,22
vlang/v,2019-02-08T02:57:06Z,49,2023-03-08T02:23:12Z,-3.0153438908333334,V,8268,7011,6162,142
GokuMohandas/Made-With-ML,2018-11-05T03:44:27Z,52,2023-03-07T23:35:22Z,-0.21812166861111112,Jupyter Notebook,140,45,45,0
iina/iina,2016-12-19T07:18:45Z,75,2023-03-07T18:43:55Z,4.6393783313888886,Swift,467,3329,1864,40
LeCoupa/awesome-cheatsheets,2017-11-09T02:47:15Z,64,2023-03-08T01:58:33Z,-2.6045105575,JavaScript,157,66,42,0
jondot/awesome-react-native,2015-03-26T19:58:06Z,96,2023-03-08T01:56:12Z,-2.5653438908333333,JavaScript,912,66,35,0
istio/istio,2016-11-18T23:57:21Z,76,2023-03-08T01:33:19Z,-2.1839550019444443,Go,20709,17278,16776,287
immutable-js/immutable-js,2014-07-02T06:02:29Z,104,2023-03-08T02:10:12Z,-2.7986772241666666,TypeScript,459,1219,1119,66
AppFlowy-IO/AppFlowy,2021-06-16T12:56:48Z,21,2023-03-08T02:09:33Z,-2.7878438908333334,Dart,966,767,383,25
NervJS/taro,2018-04-08T09:32:26Z,59,2023-03-08T02:13:33Z,-2.8545105575,TypeScript,2513,9476,8544,142
satwikkansal/wtfpython,2017-08-28T20:22:19Z,67,2023-03-07T13:30:01Z,9.871044998055556,Python,94,176,118,2
SheetJS/sheetjs,2012-12-03T19:25:52Z,123,2023-03-08T01:05:24Z,-1.7186772241666666,JavaScript,106,2377,2265,0
unknwon/the-way-to-go_ZH_CN,2013-03-24T17:18:38Z,120,2023-03-08T01:51:11Z,-2.4817327797222224,Go,592,0,0,0
formulahendry/955.WLB,2019-03-27T23:53:37Z,48,2023-03-07T22:59:21Z,0.3821561091666667,None,18,243,72,0
google/material-design-lite,2015-01-14T22:01:33Z,98,2023-03-08T01:53:59Z,-2.528399446388889,HTML,655,2176,1810,14
firstcontributions/first-contributions,2016-09-20T14:35:09Z,78,2023-03-08T00:09:12Z,-0.7820105574999999,None,53800,566,536,0
geekxh/hello-algorithm,2020-05-29T05:47:09Z,34,2023-03-08T01:40:40Z,-2.3064550019444443,Java,25,38,32,0
google/leveldb,2014-08-27T21:17:52Z,103,2023-03-07T19:19:42Z,4.0429894425,C++,58,704,518,21
jaredpalmer/formik,2017-06-14T19:50:59Z,69,2023-03-08T01:39:56Z,-2.2942327797222224,TypeScript,746,2140,1499,170
xitu/gold-miner,2015-11-04T03:29:13Z,88,2023-03-08T02:03:14Z,-2.6825661130555556,None,3525,5544,5543,0
carbon-app/carbon,2017-06-16T02:50:28Z,69,2023-03-08T00:30:10Z,-1.1314550019444445,JavaScript,643,630,596,215
Blankj/AndroidUtilCode,2016-07-30T18:18:32Z,80,2023-03-07T20:04:06Z,3.3029894425,Java,87,1511,1270,117
alibaba/arthas,2018-08-29T17:15:57Z,55,2023-03-07T14:54:41Z,8.459933886944444,Java,434,1682,1448,47
gto76/python-cheatsheet,2018-01-25T04:16:53Z,62,2023-03-07T21:36:45Z,1.7588227758333335,Python,13,56,49,0
XX-net/XX-Net,2015-01-15T09:35:51Z,98,2023-03-07T17:53:08Z,5.485767220277777,Python,360,13154,5307,359
go-gorm/gorm,2013-10-25T08:31:38Z,113,2023-03-08T02:13:56Z,-2.860899446388889,Go,603,4967,4770,2
metabase/metabase,2015-02-02T19:25:47Z,97,2023-03-08T01:10:54Z,-1.8103438908333334,Clojure,13980,12986,10439,330
koalaman/shellcheck,2012-11-17T03:15:11Z,124,2023-03-08T01:42:31Z,-2.3372883352777776,Haskell,257,2356,1511,28
cli/cli,2019-10-03T15:24:53Z,41,2023-03-07T23:44:06Z,-0.36367722416666665,Go,1659,3326,2929,101
psf/black,2018-03-14T19:54:45Z,60,2023-03-08T01:20:19Z,-1.9672883352777777,Python,1103,2216,1857,26
chakra-ui/chakra-ui,2019-08-17T14:27:54Z,43,2023-03-07T23:40:31Z,-0.3039550019444444,TypeScript,2115,3125,2992,1000
QSCTech/zju-icicles,2016-06-28T16:17:32Z,81,2023-03-08T02:12:29Z,-2.8367327797222224,HTML,182,59,50,0
bilibili/ijkplayer,2013-06-03T04:12:04Z,117,2023-03-07T15:51:57Z,7.5054894425,C,35,5256,2517,0
