nameWithOwner,createdAt,age,updatedAt,timeSinceLastUpdate,primaryLanguage,pullRequests,issues,closedIssues,closedIssuesRate,releases
termux/termux-app,2015-10-23T09:42:46Z,89,2023-03-08T19:16:39Z,-2.8794930991666665,Java,134,2266,1979,0.8733451015004413,89
urfave/cli,2013-07-13T19:32:06Z,116,2023-03-08T17:26:22Z,-1.0414375436111112,Go,718,718,678,0.9442896935933147,112
jquense/yup,2014-09-22T23:54:22Z,102,2023-03-08T19:04:42Z,-2.6803264325,TypeScript,288,1460,1374,0.9410958904109589,11
shimohq/chinese-programmer-wrong-pronunciation,2017-02-15T09:02:40Z,73,2023-03-08T08:39:59Z,7.731618011944444,JavaScript,125,229,114,0.4978165938864629,0
chalk/chalk,2013-08-03T00:20:12Z,115,2023-03-08T16:13:32Z,0.17245134527777778,JavaScript,100,351,348,0.9914529914529915,26
recharts/recharts,2015-08-07T06:50:27Z,91,2023-03-08T15:40:51Z,0.7171735674999999,TypeScript,551,2642,2184,0.8266464799394398,19
pytorch/examples,2016-08-24T03:12:48Z,79,2023-03-08T16:48:40Z,-0.4131042102777778,Python,364,576,434,0.7534722222222222,0
Homebrew/homebrew-cask,2012-03-05T02:05:17Z,132,2023-03-08T16:33:36Z,-0.16199309916666668,Ruby,105097,6182,6165,0.9972500808799741,81
verekia/js-stack-from-scratch,2016-10-02T13:31:23Z,77,2023-03-08T18:34:51Z,-2.1828264324999997,JavaScript,55,157,118,0.7515923566878981,1
Molunerfinn/PicGo,2017-12-12T08:39:44Z,63,2023-03-08T18:25:27Z,-2.0261597658333335,TypeScript,15,974,953,0.9784394250513347,47
ReactiveX/RxAndroid,2014-08-19T03:46:38Z,103,2023-03-08T12:39:12Z,3.7446735675,Java,177,347,346,0.9971181556195965,20
facebookarchive/pop,2014-03-30T22:29:12Z,108,2023-03-08T13:38:41Z,2.753284678611111,Objective-C++,100,256,211,0.82421875,3
hapijs/joi,2012-09-16T16:38:06Z,126,2023-03-08T13:40:43Z,2.7193957897222223,JavaScript,434,2266,2140,0.9443954104148279,0
2dust/v2rayNG,2019-05-15T02:15:31Z,46,2023-03-08T16:18:30Z,0.0896735675,Kotlin,121,1738,1493,0.8590333716915995,148
